universidad,tipo_gestion,es_publico,es_licenciada,es_universidad,doc_total,mat_total,egr_total,n_renacyt,score_mat,score_egr,score_concytec,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Universidad Nacional José María Arguedas,Público,1,1,1,115,2923,403.0,64,100,100,100,0.0,22.61,55.652,11.3,47.83,29.57,60.87,48.83,24.35,45.19,1.4,12.45,23.7,1,15.328,143.1,47.64,50.0,2.938,62.5,3.218,5,34.375,25.4,13.79
Universidad José Carlos Mariátegui,Privado,0,1,1,2,33,30.0,7,100,100,100,0.0,0.0,350.0,0.0,50.0,0.0,100.0,65.0,50.0,42.42,0.0,27.27,39.73,1,12.689,165.2,30.0,34.071,2.429,71.429,3.612,5,28.571,16.5,90.91
Universidad César Vallejo S.A.C.,Privado,0,1,1,1279,210269,10906.0,497,100,100,100,1.49,5.79,38.858,0.0,21.89,98.59,1.41,47.15,43.78,56.36,0.4,9.3,26.56,7,16.104,129.4,37.02,38.209,2.491,53.924,2.83,6,41.449,164.4,5.19
Universidad Nacional Micaela Bastidas de Apurímac,Público,1,1,1,179,4256,226.0,57,100,100,100,0.0,11.17,31.844,0.0,54.75,44.13,55.31,49.71,24.58,43.47,1.06,4.18,22.97,1,13.0,213.8,0.0,31.211,2.105,50.877,3.337,6,26.316,23.8,5.31
Universidad Católica Santo Toribio de Mogrovejo,Privado,0,1,1,329,10997,1495.0,50,100,100,100,1.82,6.08,15.198,0.0,55.93,83.89,13.07,51.08,49.85,54.17,0.26,1.84,21.96,1,15.848,218.0,4.01,35.83,2.3,46.0,3.38,5,60.0,33.4,13.59
Universidad Privada de Pucallpa S.A.C.,Privado,0,1,1,5,4,2.0,0,100,100,86,0.0,0.0,0.0,0.0,20.0,100.0,0.0,40.4,40.0,50.0,0.0,0.0,37.25,1,14.505,248.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8,50.0
Universidad Nacional del Altiplano,Público,1,1,1,1485,23321,661.0,10,100,92,100,0.0,0.0,0.673,19.12,19.93,58.79,41.08,52.25,32.53,44.03,1.04,21.46,25.02,1,14.201,213.0,0.0,37.7,2.6,90.0,2.035,6,40.0,15.7,2.83
Universidad Católica de Santa María,Privado,0,1,1,431,22789,2725.0,144,100,100,100,0.93,1.16,33.411,0.23,9.51,79.58,20.42,48.45,39.68,55.22,0.21,3.91,23.0,1,15.4,197.7,13.17,44.521,2.549,57.639,2.917,6,37.5,52.9,11.96
Universidad Inca Garcilaso de la Vega Asociación Civil,Privado,0,1,1,33,447,1071.0,4,100,86,100,3.03,18.18,12.121,0.0,36.36,90.91,6.06,56.06,51.52,51.01,0.45,0.0,43.97,1,14.873,128.0,53.22,47.25,3.0,50.0,3.036,1,75.0,13.5,239.6
Universidad Señor de Sipán S.A.C.,Privado,0,1,1,706,20143,992.0,119,100,100,100,0.0,16.01,16.856,0.0,27.76,86.97,4.39,47.57,42.78,57.59,0.3,0.02,23.33,1,15.956,158.1,33.67,58.05,2.849,60.504,2.863,6,32.773,28.5,4.92
