universidad,tipo_gestion,es_publico,es_licenciada,es_universidad,doc_total,mat_total,egr_total,n_renacyt,score_mat,score_egr,score_concytec,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Escuela Nacional Superior de Folklore José María Arguedas,Público,1,0,0,70,960,124.0,0,100,100,86,0.0,0.0,0.0,0.0,0.0,60.0,0.0,51.86,32.86,44.69,0.52,0.0,30.0,1,15.066,159.5,0.0,0.0,0.0,0.0,0.0,0,0.0,13.7,12.92
Escuela Superior de Guerra Naval,Público,1,0,0,33,109,3056.0,0,100,86,86,0.0,100.0,0.0,0.0,0.0,0.0,0.0,61.97,0.0,4.59,0.0,100.0,39.06,1,14.365,206.7,6.38,0.0,0.0,0.0,0.0,0,0.0,3.3,2803.67
Conservatorio Regional de Música Luis Duncker Lavalle,Público,1,0,0,7,167,3.0,0,100,100,86,0.0,0.0,0.0,0.0,0.0,71.43,0.0,52.0,14.29,26.95,2.99,0.0,23.84,1,17.107,220.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.9,1.8
Instituto Superior de Música Público Daniel Alomía Robles de Huánuco,Público,1,0,0,11,53,16.0,0,100,100,86,0.0,0.0,0.0,0.0,0.0,72.73,0.0,41.09,0.0,11.32,1.89,0.0,28.23,1,14.236,220.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.8,30.19
Escuela Superior de Formación Artística Sérvulo Gutiérrez Alarcón de Ica,Público,1,0,0,5,185,453.0,0,100,86,86,0.0,0.0,0.0,0.0,0.0,40.0,0.0,58.2,0.0,65.41,3.24,0.0,26.65,1,14.454,236.9,0.0,0.0,0.0,0.0,0.0,0,0.0,37.0,244.86
Escuela Superior de Música Pública José María Valle Riestra de Piura,Público,1,0,0,4,291,28.0,0,100,100,86,0.0,0.0,0.0,0.0,75.0,25.0,75.0,52.5,0.0,21.65,2.06,0.0,23.88,1,15.042,210.9,0.0,0.0,0.0,0.0,0.0,0,0.0,72.8,9.62
Escuela Nacional Superior de Ballet,Público,1,0,0,12,65,3056.0,0,100,86,86,0.0,0.0,0.0,0.0,100.0,0.0,0.0,54.67,50.0,49.23,0.0,0.0,21.43,1,14.365,206.7,6.38,0.0,0.0,0.0,0.0,0,0.0,5.4,4701.54
"Escuela Superior de Arte Dramático ""Virgilio Rodríguez Nache""",Público,1,0,0,3,207,453.0,0,100,86,86,0.0,0.0,0.0,0.0,0.0,66.67,0.0,48.0,0.0,55.56,1.45,0.0,24.1,1,14.454,236.9,0.0,0.0,0.0,0.0,0.0,0,0.0,69.0,218.84
Escuela Superior de Formación Artística Pública Mario Urteaga Alvarado de Cajamarca,Público,1,0,0,1,423,36.0,0,100,100,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,33.1,1.89,0.0,25.32,1,14.32,215.4,0.0,0.0,0.0,0.0,0.0,0,0.0,423.0,8.51
Escuela Superior de Arte Pública Ignacio Merino de Piura,Público,1,0,0,3,442,101.0,0,100,100,86,0.0,0.0,0.0,0.0,0.0,33.33,0.0,61.33,33.33,51.81,1.13,0.0,25.25,1,15.463,227.4,0.0,0.0,0.0,0.0,0.0,0,0.0,147.3,22.85
Instituto Superior de Música Público Leandro Alviña Miranda del Cusco,Público,1,0,0,39,194,2.0,0,100,100,86,0.0,0.0,0.0,0.0,0.0,76.92,0.0,46.69,23.08,27.84,2.58,0.0,24.97,1,14.97,213.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,1.03
