universidad,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Universidad Nacional Agraria La Molina,2.221140823654208,0.14197288192555246,3.319806153039211,4.28922561845055,-1.151930022521139,-1.1079049519540363,1.4664587771184898,0.9163684935922887,0.066727956327785,-0.0838096749826352,-0.713723346422426,0.3424646707286745,-0.13345996710015504,-0.2678562584008606,-1.0503864178278868,0.3189131040363818,-0.6618117928529514,0.3289994314389903,1.3219535909737365,-0.15851663899728471,1.9770815112081388,1.4122890249937725,0.2086204535891852,-0.15185940132203035,-0.240437460560265
Universidad Nacional Agraria de la Selva,-0.4643282816197503,-0.5119880234458101,-0.7455754877305734,5.550919702786495,-1.379588616108534,-1.3529466459898394,1.7481878429150992,1.2890603951063953,-1.5352109450359508,-0.7943143025085302,0.42786986328895454,-0.4631442917768147,-0.8206083196057888,-0.2678562584008606,-2.115112581974243,0.554076735763572,-0.6618117928529514,-0.19121973308683426,0.03829895154656606,0.7736962136067074,0.12303195688897955,0.1412289024993773,-0.9609284058378751,-0.14115549620644863,-0.23896677958625143
Universidad Marcelino Champagnat,2.522642576987838,0.3643195897518157,-0.3652308682057745,-0.48509407660526555,-0.40060853290185017,0.6384835679762557,-0.32321621834952513,0.30733538623996703,1.594706208262754,1.3571705209509637,-0.1279057782810597,-0.07610985988963875,1.28102085209273,-0.2678562584008606,-0.030481200454014312,-1.4414546534642987,1.9084274254830893,-0.21164286520317974,0.029186902303405236,-0.8318068765000538,1.29748389573077,0.1412289024993773,1.8503973143948764,-0.11952468795204393,-0.17799479753860534
Universidad Autónoma del Perú S.A.C.,-0.4643282816197503,-0.006742672110750007,-0.042296757288492436,-0.48509407660526555,-0.42034215306481676,1.1438043202709005,-0.8488301470745431,-0.8252843925077824,0.5909545374437718,0.2987106542150897,-0.5034298604229611,-0.09161262028290962,0.33468496311567214,-0.2678562584008606,1.00040057531312,-0.14693485214700405,0.26689358423464843,6.489898880758635,2.9413978404174634,-0.5238124061530423,0.6871960104745448,-0.49430115874782027,0.3403137846698559,-0.08629798248909236,-0.23251723073146274
Universidad para el Desarrollo Andino,-0.4643282816197503,1.304570047030197,-0.7455754877305734,-0.48509407660526555,-0.3933889157690576,1.0554898011006362,-0.9879156789833171,-1.103439811686604,0.5511295723667432,-0.17367890895077556,0.9536035782876168,3.0255113746537243,1.8496260677625964,-0.2678562584008606,1.228164161973293,-2.8591554047339307,3.6330279983275093,-0.11650360196384967,0.5002798481747976,-0.9858041116735592,1.586447347692263,-1.1298312199950178,-1.3585301862707928,-0.11551072353370077,-0.2187755553805234
Universidad Nacional de Tumbes,-0.4643282816197503,-0.5119880234458101,-0.18223487201931463,0.21436674100441871,0.48259129634311787,-0.3889501339200557,0.21080753323509316,-0.04717642251735363,0.04559634220528028,0.1450880320473286,0.7132681657167996,-0.4631442917768147,-0.7482769140788801,-0.2678562584008606,-1.5992143374909567,0.5137629703246254,-0.6618117928529514,-0.2018741015669986,-0.1983295772367552,0.010365503355055428,-0.13143568918973522,0.7767589637465749,-0.5975896576202939,-0.14249348434589634,-0.23464665422508657
Universidad de Piura,-0.4643282816197503,-0.05130889677309471,1.335555449291911,-0.48509407660526555,0.04941426837555847,0.5358645844333434,-0.2352365330490914,-0.40168823127467557,0.460101080762107,-0.02159251300469233,-0.713723346422426,-0.12956765434919346,-0.7723873825878499,0.2421008489392393,-2.143468691156834,-0.017034941288175582,0.34947736971669713,-0.04476880033696673,0.3296125258577524,-0.9237455243648329,1.643224374263646,1.4122890249937725,-0.4879783006643908,-0.1538663835312019,-0.22064454578499898
Universidad Tecnológica del Perú S.A.C.,-0.4643282816197503,-0.3874932436825211,-0.5482268643922343,-0.48509407660526555,-0.43381877171269645,1.1795654812025216,-0.9083458165424836,-0.9943592551458895,0.6836085378270625,-0.18750494494587405,-0.6235975667083696,-0.3343110071292879,-0.2620491324813258,3.8118006003199385,1.1796843624030577,0.554076735763572,-0.4724969161923486,-0.18276130314838315,-0.12859542406500285,0.5460631224207864,-0.6241598664600807,-0.49430115874782027,-0.7326403022400276,-0.10056985597653464,-0.2332525712184695
Universidad de Huánuco,-0.4643282816197503,-0.31095559697979863,-0.3185848299621671,-0.3465342194025852,0.389217581425666,1.0931167617330377,-0.7961070268393567,-0.628939390734497,0.39670623839459224,0.5229996825800209,-0.11288481499538362,-0.347140877799581,-0.32835292088099255,-0.2678562584008606,-1.0695953950160932,0.34578894766234675,-0.17596800223926162,-0.290521080899053,-0.46026031418635216,0.9281615254828682,-0.5848856964294683,0.1412289024993773,-0.03720709776139966,-0.043482362026765496,-0.23400323129895562
Universidad Andina del Cusco,3.4692178490817924,-0.2542789851809472,-0.37599533856968387,-0.3865034089802815,0.11775997723266217,0.8371912361093499,-0.5441357957767173,-0.05626646889574726,0.5633208882066498,0.34402932775457945,-0.3832621541375527,-0.283526102392711,-0.4127395606623859,0.2421008489392393,1.0735776312681944,0.9840902337790057,-0.48746824572418207,-0.015095926676115508,0.39838200094869686,-0.6193968969503907,0.3652694977492032,0.7767589637465749,0.02788270955433446,-0.11952468795204393,-0.23100059097701123
