universidad,tipo_gestion,es_publico,es_licenciada,es_universidad,doc_total,mat_total,egr_total,n_renacyt,score_mat,score_egr,score_concytec,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Universidad San Pedro,Privado,0,1,1,76,537,4.0,6.0,100,100,100,5.26,7.89,0.0,2.63,82.89,11.84,88.16,59.93,30.26,62.76,0.37,2.98,33.18,4,13.613,297.0,0.0,32.916666666666664,2.333333333333333,0.0,2.076659822039699,3.0,33.33333333333333,7.1,0.74
Universidad Nacional de Frontera,Público,1,1,1,84,1950,25.0,50.0,100,100,100,0.0,0.0,4.76,0.0,52.38,46.43,53.57,45.99,33.33,56.56,0.21,0.0,20.55,1,13.048,223.5,0.0,36.67,2.26,46.0,3.287994524298426,4.0,44.0,23.2,1.28
Universidad Nacional José María Arguedas,Público,1,1,1,115,2923,403.0,4.0,100,100,100,0.0,22.61,1.74,11.3,47.83,29.57,60.87,48.83,24.35,45.19,1.4,12.45,23.7,1,15.328,143.1,47.64,54.875,2.5,75.0,2.648870636550308,2.0,75.0,25.4,13.79
Universidad José Carlos Mariátegui,Privado,0,1,1,2,33,30.0,6.0,100,100,100,0.0,0.0,0.0,0.0,50.0,0.0,100.0,65.0,50.0,42.42,0.0,27.27,39.73,1,12.689,165.2,30.0,33.25,2.333333333333333,66.66666666666666,3.288158795345653,4.0,16.666666666666664,16.5,90.91
Universidad César Vallejo S.A.C.,Privado,0,1,1,1279,210269,10906.0,21.0,100,100,100,1.49,5.79,0.86,0.0,21.89,98.59,1.41,47.15,43.78,56.36,0.4,9.3,26.56,7,16.104,129.4,37.02,38.19047619047619,2.619047619047619,42.85714285714285,3.1573938267983443,4.0,52.38095238095239,164.4,5.19
Universidad Nacional Micaela Bastidas de Apurímac,Público,1,1,1,179,4256,226.0,57.0,100,100,100,0.0,11.17,2.23,0.0,54.75,44.13,55.31,49.71,24.58,43.47,1.06,4.18,22.97,1,13.0,213.8,0.0,31.210526315789476,2.1052631578947367,50.877192982456144,3.3372960121041824,6.0,26.31578947368421,23.8,5.31
Universidad Católica Santo Toribio de Mogrovejo,Privado,0,1,1,329,10997,1495.0,18.0,100,100,100,1.82,6.08,5.47,0.0,55.93,83.89,13.07,51.08,49.85,54.17,0.26,1.84,21.96,1,15.848,218.0,4.01,35.22222222222222,2.1666666666666665,0.0,3.860369609856263,3.0,72.22222222222221,33.4,13.59
Universidad Privada de Pucallpa S.A.C.,Privado,0,1,1,5,4,2.0,3.0,100,100,86,0.0,0.0,0.0,0.0,20.0,100.0,0.0,40.4,40.0,50.0,0.0,0.0,37.25,1,14.505,248.5,0.0,36.0,2.333333333333333,33.33333333333333,4.353182751540041,2.0,0.0,0.8,50.0
Universidad Nacional del Altiplano,Público,1,1,1,1485,23321,661.0,10.0,100,92,100,0.0,0.0,2.69,19.12,19.93,58.79,41.08,52.25,32.53,44.03,1.04,21.46,25.02,1,14.201,213.0,0.0,37.7,2.6,90.0,2.034770704996577,6.0,40.0,15.7,2.83
Universidad Católica de Santa María,Privado,0,1,1,431,22789,2725.0,13.0,100,100,100,0.93,1.16,2.09,0.23,9.51,79.58,20.42,48.45,39.68,55.22,0.21,3.91,23.0,1,15.4,197.7,13.17,41.96153846153846,2.6153846153846154,92.3076923076923,2.035486758279366,5.0,30.76923076923077,52.9,11.96
Universidad Inca Garcilaso de la Vega Asociación Civil,Privado,0,1,1,33,447,1071.0,3.0,100,86,100,3.03,18.18,0.0,0.0,36.36,90.91,6.06,56.06,51.52,51.01,0.45,0.0,43.97,1,14.873,128.0,53.22,35.666666666666664,2.333333333333333,66.66666666666666,2.4229979466119094,1.0,66.66666666666666,13.5,239.6
