universidad,es_publico,es_universidad,n_renacyt,pct_contratado,pct_ordinario,pct_renacyt_doc_w,P,profile,silhouette
Universidad Nacional Autónoma de Chota,1,1,31,8.7,91.3,67.391,3.0,P3,0.215
Universidad Nacional José Faustino Sánchez Carrión,1,1,98,34.48,65.23,28.161,3.0,P3,0.178
Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa,1,1,23,74.7,25.3,27.711,2.0,P2,0.281
Universidad Nacional Autónoma de Huanta,1,1,26,46.94,36.73,53.061,3.0,P3,0.085
Universidad María Auxiliadora S.A.C.,0,1,10,96.0,4.0,10.0,2.0,P2,0.4
Universidad Peruana Unión,0,1,51,89.48,10.25,6.791,2.0,P2,0.425
Universidad Nacional de Huancavelica,1,1,135,25.0,75.0,70.312,3.0,P3,0.201
Universidad Andina Néstor Cáceres Velásquez,0,1,13,0.0,100.0,26.0,3.0,P3,0.108
Universidad Nacional Pedro Ruiz Gallo,1,1,129,59.09,36.93,73.295,3.0,P3,0.118
Universidad Alas Peruanas S.A.,0,1,6,100.0,0.0,25.0,2.0,P2,0.097
Universidad Peruana Cayetano Heredia,0,1,227,70.0,30.0,15.235,2.0,P2,0.353
Universidad Jaime Bausate y Meza,0,1,0,90.38,8.65,0.0,2.0,P2,0.045
Universidad Nacional de San Cristóbal de Huamanga,1,1,98,50.35,49.65,34.752,2.0,P2,0.143
Universidad Nacional Mayor de San Marcos,1,1,671,1.11,98.89,19.025,3.0,P3,0.114
Universidad Nacional de la Amazonía Peruana,1,1,96,33.84,60.86,13.37,3.0,P3,0.182
Universidad Científica del Perú,0,1,10,67.19,32.81,15.625,3.0,P3,-0.092
Universidad de Ciencias y Artes de América Latina S.A.C.,0,1,3,83.33,10.22,1.613,2.0,P2,0.405
Universidad Nacional del Centro del Perú,1,1,148,16.97,81.78,20.584,3.0,P3,0.266
Universidad San Ignacio de Loyola S.R.L.,0,1,29,86.34,0.49,4.715,2.0,P2,0.401
"Escuela Nacional Superior de Arte Dramático ""Guillermo Ugarte Chamorro""",1,0,0,0.0,4.76,0.0,2.0,P2,0.029
Escuela Nacional Superior de Folklore José María Arguedas,1,0,0,60.0,0.0,0.0,1.0,P1,0.074
Conservatorio Regional de Música Luis Duncker Lavalle,1,0,0,71.43,0.0,0.0,1.0,P1,0.456
Instituto Superior de Música Público Daniel Alomía Robles de Huánuco,1,0,0,72.73,0.0,0.0,1.0,P1,0.379
Escuela Superior de Formación Artística Sérvulo Gutiérrez Alarcón de Ica,1,0,0,40.0,0.0,0.0,1.0,P1,0.422
Escuela Superior de Música Pública José María Valle Riestra de Piura,1,0,0,25.0,75.0,0.0,1.0,P1,0.214
Escuela Nacional Superior de Ballet,1,0,0,0.0,0.0,0.0,3.0,P3,0.006
"Escuela Superior de Arte Dramático ""Virgilio Rodríguez Nache""",1,0,0,66.67,0.0,0.0,1.0,P1,0.426
Escuela Superior de Formación Artística Pública Mario Urteaga Alvarado de Cajamarca,1,0,0,0.0,0.0,0.0,1.0,P1,0.424
Escuela Superior de Arte Pública Ignacio Merino de Piura,1,0,0,33.33,0.0,0.0,1.0,P1,0.261
Instituto Superior de Música Público Leandro Alviña Miranda del Cusco,1,0,0,76.92,0.0,0.0,1.0,P1,0.454
Escuela de Postgrado Gerens S.A.,0,0,1,57.14,42.86,14.286,,Postgraduate stratum,
Escuela de Posgrado Newman S.A.C.,0,0,31,83.15,16.85,34.831,,Postgraduate stratum,
Escuela Superior de Guerra Naval,1,0,0,0.0,0.0,0.0,,Postgraduate stratum,
